Europawahl 2024;
Vorläufiges Ergebnis;
Nr;Gebiet;gehört zu;Wahlberechtigte;;Wählende;;Ungültige Stimmen;;Gültige Stimmen;;Christlich Demokratische Union Deutschlands;;BÜNDNIS 90/DIE GRÜNEN;;Sozialdemokratische Partei Deutschlands;;Alternative für Deutschland;;Christlich-Soziale Union in Bayern e.V.;;DIE LINKE;;Freie Demokratische Partei;;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;;FREIE WÄHLER;;PARTEI MENSCH UMWELT TIERSCHUTZ;;Ökologisch-Demokratische Partei, Die Naturschutzpartei;;Familien-Partei Deutschlands;;Volt Deutschland;;Piratenpartei Deutschland;;MERA25 - Gemeinsam für Europäische Unabhängigkeit;;Die Heimat;;Aktion Partei für Tierschutz;;Partei für schulmedizinische Verjüngungsforschung;;Bündnis für Innovation & Gerechtigkeit;;Bündnis C - Christen für Deutschland;;Partei der Humanisten;;Menschliche Welt, für das Wohl und Glücklichsein aller;;Deutsche Kommunistische Partei;;Marxistisch-Leninistische Partei Deutschlands;;Sozialistische Gleichheitspartei, Vierte Internationale;;Aktion Bürger für Gerechtigkeit;;Basisdemokratische Partei Deutschland;;BÜNDNIS DEUTSCHLAND;;Bündnis Sahra Wagenknecht - Vernunft und Gerechtigkeit;;Demokratische Allianz für Vielfalt und Aufbruch;;Klimaliste Deutschland;;Parlament aufmischen – Stimme der Letzten Generation;;Partei der Vernunft;;Partei des Fortschritts;;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer;;Übrige;;
;;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;
;;;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;
01001;Flensburg, Stadt;01;70929;70431;41851;39647;299;237;41552;39410;8262;6829;9911;14603;6552;5676;4273;2477;;;1724;2349;2117;1988;1140;1663;289;257;888;925;165;184;306;345;1744;285;350;405;173;222;27;44;137;118;23;47;21;34;44;48;106;97;80;40;24;14;7;13;6;15;16;;157;;117;;2101;;103;;49;;170;;43;;340;;87;;;732;
01002;Kiel, Landeshauptstadt;01;187041;186195;117097;109595;550;577;116547;109018;22720;18311;28409;40324;19837;17911;9351;6459;;;5637;6497;6033;5270;4125;4962;772;525;1959;1488;415;516;598;599;6049;1139;809;1358;639;675;52;119;361;197;73;129;82;129;109;85;454;371;112;99;86;68;43;42;22;12;39;;485;;400;;4446;;578;;148;;599;;63;;832;;210;;;1733;
01003;Lübeck, Hansestadt;01;166429;166530;96558;90946;604;461;95954;90485;22072;18416;18906;28633;17909;17566;10290;6773;;;3251;4231;5065;4174;2213;2680;983;1018;1520;1189;361;456;534;611;4376;935;601;883;329;332;73;162;337;214;33;104;55;213;118;97;273;234;119;68;34;49;43;40;13;6;37;;244;;335;;3870;;670;;95;;354;;79;;604;;158;;;1401;
01004;Neumünster, Stadt;01;59983;60215;33019;29036;282;231;32737;28805;9294;7039;3720;7809;5626;5286;5697;2761;;;709;1041;1921;1539;662;678;301;240;498;407;108;123;243;287;597;114;201;352;120;62;87;140;130;71;13;34;20;101;54;43;57;56;39;17;6;11;7;9;7;3;15;;131;;159;;1518;;336;;24;;47;;24;;313;;53;;;582;
01051;Dithmarschen;01;108756;107045;68033;58244;506;475;67527;57769;23596;17955;5994;12121;10553;10294;11005;5121;;;1150;2002;4865;4498;1123;1089;1032;609;1034;886;133;157;615;613;1182;185;366;539;69;100;68;98;284;126;21;111;23;6;54;25;108;78;92;54;12;22;23;13;14;12;39;;146;;328;;2878;;23;;28;;116;;55;;421;;77;;;1055;
01053;Herzogtum Lauenburg;01;157260;152666;103159;91899;656;609;102503;91290;31909;24912;13813;23552;16751;15940;14656;8355;;;2012;3168;6496;5774;1731;1877;1471;990;1584;1439;364;508;868;919;2343;502;480;658;184;196;85;171;413;216;41;107;39;40;125;124;195;127;146;68;20;33;19;24;17;13;56;;322;;444;;4279;;279;;62;;207;;59;;861;;172;;;1577;
01054;Nordfriesland;01;134516;131877;86307;77635;736;446;85571;77189;30037;23444;12186;22580;13845;12566;9207;4373;;;1504;2449;5173;4432;1583;1340;1325;563;1448;1115;257;244;892;771;1371;337;484;815;118;148;59;119;380;198;31;114;26;17;81;50;162;104;156;73;17;18;32;22;10;12;57;;242;;282;;3495;;39;;67;;178;;80;;614;;133;;;1285;
01055;Ostholstein;01;170581;165528;106270;96712;800;723;105470;95989;36217;28117;13314;24383;18404;18289;13506;7752;;;1686;2823;6603;5910;1628;1455;1645;1018;1740;1282;290;336;864;947;1643;355;538;752;138;181;76;171;477;253;43;124;34;32;137;101;169;104;137;58;19;45;28;16;16;17;51;;254;;451;;4143;;71;;59;;178;;89;;673;;149;;;1468;
